#,Name,Team,FB%,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%
27,Codi Heuer,CHW,58.9%,97.3,24.3%,87.2,0,0,0,0,16.8%,88.4,0,0,0,0,0
28,Zack Wheeler,PHI,62.8%,97.2,23.4%,91.4,0,0,8.4%,81.1,5.4%,89.7,0,0,0,0,0
29,Jonathan Loaisiga,NYY,60.8%,97.2,0,0,0,0,13.5%,85.5,25.7%,89.6,0,0,0,0,0
30,Pete Fairbanks,TBR,46.3%,97.2,53.7%,86.5,0,0,0,0,0,0,0,0,0,0,0
31,Corbin Burnes,MIL,14.1%,97.1,10.8%,87.3,53.9%,96.0,10.1%,81.5,11.1%,91.1,0,0,0,0,0
32,Nathan Eovaldi,BOS,42.8%,97.1,12.4%,85.5,12.4%,92.6,20.0%,78.5,0,0,12.4%,88.5,0,0,0
33,Shohei Ohtani,LAA,52.2%,97.0,13.4%,81.4,10.1%,87.2,7.3%,74.8,0,0,17.0%,90.1,0,0,0
34,Tanner Scott,BAL,56.7%,97.0,43.3%,89.2,0,0,0,0,0,0,0,0,0,0,1.6%
35,Jeurys Familia,NYM,76.5%,97.0,13.4%,88.5,0,0,0,0,0,0,10.1%,92.6,0,0,0
36,Kendall Graveman,SEA,64.2%,96.9,22.9%,87.5,0,0,0,0,12.8%,89.4,0,0,0,0,0
37,Alex Reyes,STL,60.7%,96.9,24.8%,85.0,0,0,8.0%,78.7,6.5%,89.4,0,0,0,0,0
38,Ryne Stanek,HOU,56.9%,96.8,10.8%,86.2,0,0,0,0,0,0,32.4%,87.2,0,0,0
39,Jordan Romano,TOR,49.6%,96.8,50.4%,88.9,0,0,0,0,0,0,0,0,0,0,0
40,Ryan Hendrix,CIN,38.9%,96.8,0,0,0,0,59.3%,85.4,1.9%,90.0,0,0,0,0,0
41,Brandon Woodruff,MIL,63.7%,96.8,12.2%,86.5,0,0,11.3%,84.4,12.8%,86.5,0,0,0,0,0
