#,Name,Team,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C
107,Nick Maton,PHI,2.4,-0.2,-0.1,-1.0,0.0,0.6,0,2.28,-0.42,-0.98,-3.73,-0.10,8.80,0
108,Lewis Brinson,MIA,2.3,-2.3,-0.5,-0.9,-1.9,0.1,0,3.52,-5.01,-8.51,-9.44,-8.90,5.96,0
109,Cedric Mullins II,BAL,2.3,5.7,3.3,0.0,-0.1,-0.3,0,0.72,8.64,11.08,-0.07,-0.25,-4.78,0
110,Pedro Severino,BAL,2.3,-2.4,-0.7,-0.5,-1.2,-0.2,0,1.53,-4.22,-2.98,-1.69,-2.23,-4.63,0
111,Joey Gallo,TEX,2.3,2.0,1.6,-1.1,-0.8,-1.1,0,0.85,1.75,4.88,-1.76,-1.36,-5.34,0
112,Adolis Garcia,TEX,2.3,4.4,0.5,-1.0,-0.4,0.0,0,1.25,7.60,1.22,-2.31,-0.92,0.71,0
113,Paul DeJong,STL,2.2,0.5,-0.2,-1.2,-2.2,0.1,0,0.92,0.51,-0.58,-3.92,-3.99,1.57,0
114,David Bote,CHC,2.2,-3.5,-1.6,-1.9,-0.6,0,0,1.20,-2.93,-5.38,-5.85,-1.77,0,0
115,Jacob deGrom,NYM,2.2,-0.9,-0.1,0.0,0.0,0,0,9.16,-11.37,-5.72,-0.53,0.00,0,0
116,Joey Wendle,TBR,2.2,0.3,0.3,-1.4,0.3,0.8,0,1.10,0.38,2.57,-3.22,0.82,11.93,0
117,Willson Contreras,CHC,2.2,0.8,0.7,-0.6,-0.9,-0.2,0,0.98,0.80,3.13,-2.16,-1.74,-21.46,0
118,Christian Yelich,MIL,2.2,0.6,0.1,-1.0,1.1,-0.3,0,3.08,2.12,1.00,-4.02,3.58,-6.60,0
119,Nick Madrigal,CHW,2.1,0.9,-0.5,0.0,1.0,0.4,0,1.06,1.15,-2.68,-0.05,7.80,7.54,0
120,Trevor Story,COL,2.1,-0.9,1.2,2.2,2.5,0,0,0.86,-0.87,2.79,3.74,4.06,0,0
121,Miguel Rojas,MIA,2.1,-0.6,0.4,0.1,1.2,-0.2,0,0.90,-0.64,1.56,0.24,3.51,-24.40,0
122,Steven Duggar,SFG,2.1,-1.2,0.6,-0.5,0.2,0,0,8.62,-8.27,5.13,-3.94,1.11,0,0
123,Ketel Marte,ARI,2.0,0.2,1.6,1.5,1.2,0.0,0,3.63,1.00,15.76,9.29,4.90,3.49,0
124,Miguel Sano,MIN,2.0,-1.9,-0.1,-0.4,-1.2,0.0,0,1.56,-3.26,-0.33,-1.15,-2.96,2.63,0
125,Trent Grisham,SDP,2.0,3.9,-2.4,2.6,-0.8,0.9,0,0.96,8.05,-5.33,7.16,-1.74,23.07,0
126,Austin Meadows,TBR,1.9,-1.2,0.4,1.2,1.0,0.2,0,0.69,-1.20,1.65,1.98,1.07,2.40,0
127,Yan Gomes,WSN,1.9,-1.4,-0.6,0.9,-0.2,0,0,1.81,-3.14,-6.17,4.44,-1.26,0,0
128,Jeimer Candelario,DET,1.9,-0.3,-1.1,0.9,1.0,-0.9,0,0.84,-0.40,-2.82,1.51,1.78,-5.48,0
129,Tim Anderson,CHW,1.8,-0.3,-0.1,1.8,-0.1,0.1,0,1.18,-0.39,-0.63,4.99,-0.57,1.08,0
130,Jazz Chisholm,MIA,1.8,3.5,1.2,-0.1,-0.1,-0.7,0,1.21,5.71,6.40,-0.40,-0.16,-5.79,0
131,Luis Urias,MIL,1.8,1.3,-0.8,-1.4,0.4,-0.2,0,0.88,1.77,-2.28,-4.26,1.24,-6.89,0
132,Daniel Vogelbach,MIL,1.8,-2.9,0.0,-1.2,0.6,-0.1,0,1.05,-5.12,-0.22,-1.96,2.30,-2.40,0
133,Niko Goodrum,DET,1.8,0.9,-2.1,-0.8,-1.3,0.0,0,0.93,2.27,-6.49,-1.94,-1.67,0.31,0
134,Andrew Benintendi,KCR,1.8,-0.1,-0.8,0.4,1.4,2.0,0,0.79,-0.20,-3.62,0.80,2.06,17.82,0
135,Dylan Cease,CHW,1.7,0,0,0,0,0,0,42.70,0,0,0,0,0,0
136,Jackie Bradley Jr.,MIL,1.7,-3.5,-0.1,-0.9,0.4,-0.1,0,1.01,-5.88,-0.27,-1.04,0.75,-6.58,0
137,Jose Altuve,HOU,1.7,-1.6,0.5,-0.7,-1.8,-0.2,0,1.16,-2.43,1.91,-2.66,-3.89,-6.19,0
138,Tomas Nido,NYM,1.7,0.3,-0.1,-0.6,0.0,0,0,7.70,2.04,-5.86,-9.85,3.25,0,0
139,Jeff McNeil,NYM,1.7,-0.6,-1.7,1.4,-0.3,-0.3,0,1.14,-1.57,-4.84,6.84,-0.60,-8.55,0
140,Nelson Cruz,MIN,1.7,5.1,-1.0,3.2,-0.9,-0.2,0,0.88,4.64,-3.88,9.55,-1.86,-10.46,0
141,Kevin Kiermaier,TBR,1.7,-1.1,-0.3,0.4,-2.1,-1.1,0,1.36,-2.00,-2.12,1.59,-5.78,-7.06,0
142,Wilmer Flores,SFG,1.6,-2.5,-1.1,0.7,-1.7,0.0,0,1.04,-3.02,-3.05,3.41,-4.24,0.00,0
143,Andrew Vaughn,CHW,1.6,-1.2,-1.0,1.5,-0.8,0.1,0,1.32,-1.71,-4.40,5.90,-3.49,3.49,0
144,Brock Holt,TEX,1.6,-0.2,0.8,0.0,-2.0,-0.1,0,1.17,-0.70,15.85,-0.03,-6.78,-1.53,0
145,Luis Guillorme,NYM,1.5,-0.3,0.3,-0.6,0.6,0,0,2.40,-2.03,2.18,-4.55,3.32,0,0
146,Anthony Rizzo,CHC,1.5,-1.4,-0.7,4.8,-0.8,-0.2,0,0.52,-1.72,-1.82,9.48,-1.25,-2.35,0
147,Starling Marte,MIA,1.5,2.3,1.6,-0.6,0.7,0,0,1.27,3.39,10.66,-2.17,1.92,0,0
148,A.J. Pollock,LAD,1.5,0.7,-0.1,0.6,-1.1,0,0,0.94,0.84,-0.33,1.53,-2.98,0,0
