#,Name,Team,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C
72,Nate Jones,- - -,2.7,-3.5,0,0,-0.6,0,0,1.98,-4.16,0,0,-18.35,0,0
73,Richard Bleier,MIA,2.7,1.3,-1.1,0,-0.9,0,0,2.00,3.67,-1.26,0,-43.37,0,0
74,Randy Dobnak,MIN,2.7,-3.0,0,0,-1.8,0,0,1.19,-2.05,0,0,-7.61,0,0
75,Genesis Cabrera,STL,2.7,0,0,-1.2,2.5,0,0,1.19,0,0,-1.09,3.86,0,0
76,Dylan Cease,CHW,2.7,0.5,0,-1.2,2.6,0,0,0.59,0.18,0,-1.18,3.19,0,0
77,Jonathan Loaisiga,NYY,2.7,-0.1,0,0.8,1.1,0,0,1.14,-0.78,0,1.20,1.30,0,0
78,Michael Fulmer,DET,2.7,-0.1,0,-0.3,-0.2,0,0,0.98,-0.05,0,-2.09,-0.23,0,0
79,Erik Swanson,SEA,2.6,2.5,0,0,0,-0.1,0,2.00,5.39,0,0,0,-0.37,0
80,Kyle Zimmer,KCR,2.6,3.0,0,0.8,-0.2,0,0,1.91,3.36,0,2.31,-2.89,0,0
81,Brent Suter,MIL,2.6,0.4,0,-2.4,-0.4,0,0,0.88,1.12,0,-7.18,-0.79,0,0
82,Craig Kimbrel,CHC,2.6,0,0,5.2,0,0,0,1.21,0,0,3.51,0,0,0
83,Alex Reyes,STL,2.6,4.0,0,-0.9,0.4,0,0,0.92,2.91,0,-1.68,1.84,0,0
84,Aaron Nola,PHI,2.6,0,0.7,1.4,-0.2,0,0,0.50,0,2.96,0.53,-0.09,0,0
85,Ryan Tepera,CHC,2.5,0.1,1.3,0,0,1.9,0,1.68,2.02,0.93,0,0,5.26,0
86,Yu Darvish,SDP,2.5,12.6,-4.7,3.3,0.0,-0.6,0,1.09,5.86,-1.36,3.43,-0.06,-1.66,0
87,Jake Brentz,KCR,2.4,-0.9,0,0,0.7,0,0,1.17,-0.70,0,0,1.77,0,0
88,Alec Bettinger,MIL,2.4,-3.9,0,-4.0,-0.1,0,0,2.10,-14.82,0,-13.90,-1.51,0,0
89,Ryan Weathers,SDP,2.4,4.9,0,0,-0.2,0,0,0.68,2.80,0,0,-0.38,0,0
90,Brett De Geus,TEX,2.4,0,-1.0,-4.2,0,0,0,1.21,0,-1.51,-5.01,0,0,0
91,Sam Coonrod,PHI,2.4,-0.4,-0.4,0,-0.2,0,0,1.00,-0.79,-4.73,0,-1.11,0,0
92,Luke Weaver,ARI,2.3,0,2.0,-0.7,-4.7,0,0,0.56,0,4.15,-11.87,-2.30,0,0
93,Chris Paddack,SDP,2.3,0,-1.4,0.7,0.3,0,0,0.51,0,-14.11,1.20,0.12,0,0
94,Tommy Hunter,NYM,2.3,0,0.1,-0.3,0,0,0,4.73,0,0.27,-1.70,0,0,0
95,Kyle Crick,PIT,2.2,4.7,0,0,-0.1,0,0,2.71,4.06,0,0,-6.34,0,0
96,Scott Alexander,LAD,2.2,0.5,0,0,-0.1,0,0,1.74,1.43,0,0,-0.36,0,0
97,Jimmy Nelson,LAD,2.2,5.4,0,-2.9,0,0,0,1.71,4.89,0,-2.44,0,0,0
98,Marco Gonzales,SEA,2.1,0,-4.3,-0.2,-0.8,0,0,0.89,0,-8.44,-0.18,-0.83,0,0
99,Wade Miley,CIN,2.1,0.1,0.9,-0.1,0.0,0,0,1.70,2.26,0.26,-0.31,-0.02,0,0
100,Rafael Dolis,TOR,2.0,-1.4,0,0,0,0.8,0,1.16,-2.38,0,0,0,2.26,0
101,Joel Payamps,TOR,2.0,-1.0,0,0,0.8,0,0,1.05,-1.03,0,0,2.92,0,0
102,Kris Bubic,KCR,1.9,0,0,-0.3,5.4,0,0,0.78,0,0,-0.55,3.45,0,0
103,Carlos Martinez,STL,1.9,1.4,-0.7,0.7,1.5,0,0,0.58,1.06,-0.42,1.15,1.63,0,0
104,Brady Singer,KCR,1.9,-2.5,0,0,-0.5,0,0,0.35,-0.92,0,0,-1.43,0,0
105,Adam Cimber,MIA,1.9,0.2,0,0,0,0,0,0.84,0.15,0,0,0,0,0
106,David Peterson,NYM,1.8,-3.6,0,-0.5,0.1,0,0,0.44,-2.09,0,-46.59,0.06,0,0
107,Kyle Funkhouser,DET,1.8,-0.2,0,0,-0.3,0,0,1.87,-0.58,0,0,-2.99,0,0
108,Shane McClanahan,TBR,1.8,2.7,0,-1.2,-0.5,0,0,1.01,1.51,0,-4.19,-1.75,0,0
109,J.P. Feyereisen,- - -,1.8,-0.7,0,0,3.9,0,0,1.00,-0.51,0,0,4.59,0,0
110,Johnny Cueto,SFG,1.7,0.7,-2.8,-0.6,2.5,0,0,0.62,1.06,-2.84,-11.51,1.65,0,0
111,Ryan Thompson,TBR,1.7,0.5,1.6,0,-0.3,0,0,1.01,0.46,8.99,0,-2.91,0,0
112,Jordan Romano,TOR,1.7,2.8,0,0,0,0,0,1.06,1.85,0,0,0,0,0
113,Jon Gray,COL,1.7,2.8,0,-1.6,-0.4,0,0,0.39,0.82,0,-3.71,-0.40,0,0
114,Trevor May,NYM,1.6,1.0,0,0,-0.8,0,0,0.88,1.47,0,0,-1.15,0,0
115,Yimi Garcia,MIA,1.6,0.7,0.9,0,0.0,0,0,1.07,1.21,0.81,0,-0.14,0,0
116,Andrew Kittredge,TBR,1.6,4.0,0,0,0,0.2,0,0.94,3.21,0,0,0,11.01,0
117,Emilio Pagan,SDP,1.6,-0.3,0,0,0.1,0,0,0.65,-0.21,0,0,2.24,0,0
